year,place,register,community,name,father,note,in_both_registers
1553-54,Bayt Jala,Register 289,Christian,Kaʿoosh,Zayed,,yes
1553-54,Bayt Jala,Register 289,Christian,Suweidan,Khaleel,,yes
1553-54,Bayt Jala,Register 289,Christian,ʿAdawi,Hassaan,,no
1553-54,Bayt Jala,Register 289,Christian,Nuh,Hassaan,,yes
1553-54,Bayt Jala,Register 289,Christian,Ibrahim,Hassaan,,no
1553-54,Bayt Jala,Register 289,Christian,Jareer,Hadeed,,yes
1553-54,Bayt Jala,Register 289,Christian,Hadeed / Marrah? / Jarrah?,waʾn?,,no
1553-54,Bayt Jala,Register 289,Christian,Khaleel,Saʿid?,,yes
1553-54,Bayt Jala,Register 289,Christian,Makhlouf,ʿAwad,,yes
1553-54,Bayt Jala,Register 289,Christian,Rahal,ʿAwad,,no
1553-54,Bayt Jala,Register 289,Christian,Ibrahim,Zraik,,no
1553-54,Bayt Jala,Register 289,Christian,ʿAmeera,Hassaan,,yes
1553-54,Bayt Jala,Register 289,Christian,Musa,Baraka,,no
1553-54,Bayt Jala,Register 289,Christian,Musa,Braik,,yes
1553-54,Bayt Jala,Register 289,Christian,Attallah,Badr,,no
1553-54,Bayt Jala,Register 289,Christian,Najm,Bilal,,no
1553-54,Bayt Jala,Register 289,Christian,Bilal,Nuh,,no
1553-54,Bayt Jala,Register 289,Christian,Farah,Suweid,,yes
1553-54,Bayt Jala,Register 289,Christian,Saleh,Shibl,,yes
1553-54,Bayt Jala,Register 289,Christian,Hassaan,Nuh,,yes
1553-54,Bayt Jala,Register 289,Christian,Ghneim,Salem,,yes
1553-54,Bayt Jala,Register 289,Christian,Salem,Marrah,,no
1553-54,Bayt Jala,Register 289,Christian,Khaleel,ʿAwad,,yes
1553-54,Bayt Jala,Register 289,Christian,Musa,Musa,,no
1553-54,Bayt Jala,Register 289,Christian,Marah,Bilal,,no
1553-54,Bayt Jala,Register 289,Christian,Saʿid,Sinar? / Sitar?,,yes
1553-54,Bayt Jala,Register 289,Christian,Khaleel,Sadaqa,,yes
1553-54,Bayt Jala,Register 289,Christian,Farah,Salem,,yes
1553-54,Bayt Jala,Register 289,Christian,Rizek,Salem,,no
1553-54,Bayt Jala,Register 289,Christian,Marah,Salem,,no
1553-54,Bayt Jala,Register 289,Christian,ʿOmar,Hassaan,,no
1553-54,Bayt Jala,Register 289,Christian,Ishaq,Yaʿcoub,,yes
1553-54,Bayt Jala,Register 289,Christian,Rayan? / Dheyab?,Khaleel,,no
1553-54,Bayt Jala,Register 289,Christian,Ibrahim,Khaleel,,yes
1553-54,Bayt Jala,Register 289,Christian,Nuh,Khadr?,,yes
1553-54,Bayt Jala,Register 289,Christian,Waʾel? / Dagher?,Hassaan,,no
1562-63,Ramallah,Register 516,Muslim,Khaleel,Hassaan,,
1562-63,Ramallah,Register 516,Muslim,—?,Hasan,,
1562-63,Ramallah,Register 516,Muslim,ʿAmeer,ʿOmar,,
1562-63,Ramallah,Register 516,Muslim,ʿAmeer?,Hasan,,
1562-63,Ramallah,Register 516,Muslim,—?,Hasan,,
1562-63,Ramallah,Register 516,Muslim,Hasan,ʿAta,,
1562-63,Ramallah,Register 516,Muslim,Ahmad,Muhammad,,
1562-63,Ramallah,Register 516,Muslim,Jamal?,Ahmad?,,
1562-63,Ramallah,Register 516,Muslim,Rasha?,Hasan,,
1562-63,Ramallah,Register 516,Muslim,—?,Muhammad,,
1562-63,Ramallah,Register 516,Christian,Ishaq,Yaʿcoub,,yes
1562-63,Ramallah,Register 516,Christian,ʿAmeera,Hassaan,,yes
1562-63,Ramallah,Register 516,Christian,ʿAyash,ʿAudi,,no
1562-63,Ramallah,Register 516,Christian,ʿOmran,Hassaan,,no
1562-63,Ramallah,Register 516,Christian,Jareer,Hadeed,,yes
1562-63,Ramallah,Register 516,Christian,Abdallah,Medralady? / Malrlady?,,no
1562-63,Ramallah,Register 516,Christian,Musa,—?,,no
1562-63,Ramallah,Register 516,Christian,Ibrahim,Yaʿcoub,,no
1562-63,Ramallah,Register 516,Christian,Farah,Suweid,,yes
1562-63,Ramallah,Register 516,Christian,Ghneim,Hadeed,,no
1562-63,Ramallah,Register 516,Christian,Musa,Braik,,yes
1562-63,Ramallah,Register 516,Christian,Salem,Haras?,,no
1562-63,Ramallah,Register 516,Christian,ʿAdnan,Khaleel,,no
1562-63,Ramallah,Register 516,Christian,Ibrahim,Khaleel,,yes
1562-63,Ramallah,Register 516,Christian,Ghanayem,Hadeed,,no
1562-63,Ramallah,Register 516,Christian,Yaʿcoub,Ishaq,,no
1562-63,Ramallah,Register 516,Christian,Muʿammar,ʿAmeera,,no
1562-63,Ramallah,Register 516,Christian,Saleh,Musa,,no
1562-63,Ramallah,Register 516,Christian,Dheeb,Jirius?,,no
1562-63,Ramallah,Register 516,Christian,ʿAmer,Rizkallah,,no
1562-63,Ramallah,Register 516,Christian,ʿEsa,Musa,,no
1562-63,Ramallah,Register 516,Christian,Mansur,Salem,,no
1562-63,Ramallah,Register 516,Christian,Darraʿ,Salem,,no
1562-63,Ramallah,Register 516,Christian,Naser,Salem,,no
1562-63,Ramallah,Register 516,Christian,Farah,Salem,,yes
1562-63,Ramallah,Register 516,Christian,Salem,Saʿid?,,no
1562-63,Ramallah,Register 516,Christian,Ghneim,Salem,,yes
1562-63,Ramallah,Register 516,Christian,Ghanem,Ghanayem,,no
1562-63,Ramallah,Register 516,Christian,Saʿid,Sinar? / Sitar?,,yes
1562-63,Ramallah,Register 516,Christian,Nuh,Khadr,,yes
1562-63,Ramallah,Register 516,Christian,Khaleel,Sadaqa,,yes
1562-63,Ramallah,Register 516,Christian,Yuwad? / Nuwar?,Masʿood,,no
1562-63,Ramallah,Register 516,Christian,Ibrahim,Saʿid,,no
1562-63,Ramallah,Register 516,Christian,Khaleel,Saʿid,,yes
1562-63,Ramallah,Register 516,Christian,Naseer,Salem,,no
1562-63,Ramallah,Register 516,Christian,Khaleel,Ibrahim,,no
1562-63,Ramallah,Register 516,Christian,Saʿid,Ibrahim,,no
1562-63,Ramallah,Register 516,Christian,Suleiman,Suleiman,,no
1562-63,Ramallah,Register 516,Christian,Ghannam,Ghneim,,no
1562-63,Ramallah,Register 516,Christian,Muʿammar,Nuh,,no
1562-63,Ramallah,Register 516,Christian,Hashem?,Saʿda?,,no
1562-63,Ramallah,Register 516,Christian,Ibrahim,Hasan?,,no
1562-63,Ramallah,Register 516,Christian,Marah,Hilal,,no
1562-63,Ramallah,Register 516,Christian,Najm,Hilal,,no
1562-63,Ramallah,Register 516,Christian,Khaleel,Hassaan,,no
1562-63,Ramallah,Register 516,Christian,—?,Hassaan,,no
1562-63,Ramallah,Register 516,Christian,Nuh,Hassaan,,yes
1562-63,Ramallah,Register 516,Christian,Hassaan,Nuh,,yes
1562-63,Ramallah,Register 516,Christian,Farah,Ghneim,,no
1562-63,Ramallah,Register 516,Christian,Ghanayem,Shibl,,no
1562-63,Ramallah,Register 516,Christian,ʿAudi,Ziadeh,,no
1562-63,Ramallah,Register 516,Christian,ʿAta,Ziadeh,,no
1562-63,Ramallah,Register 516,Christian,Makhlouf,ʿAwad,,yes
1562-63,Ramallah,Register 516,Christian,Saleh,Shibl,,yes
1562-63,Ramallah,Register 516,Christian,Kaʿoosh,Zayed?,,yes
1562-63,Ramallah,Register 516,Christian,Suweidan,Khaleel,,yes
1562-63,Ramallah,Register 516,Christian,Sabʿa,ʿAta,bachelor,no
1562-63,Ramallah,Register 516,Christian,Nimr,Najm,,no
1562-63,Ramallah,Register 516,Christian,Khaleel,ʿAwad,,yes
1562-63,Ramallah,Register 516,Christian,ʿAudi,Makhlouf,,no
1562-63,Ramallah,Register 516,Christian,Khaleel,Suweidan,,no
1562-63,Ramallah,Register 516,Christian,ʿEsa,Owais?,,no
1562-63,Ramallah,Register 516,Christian,Sabʿa,Najm,,no
1562-63,Ramallah,Register 516,Christian,Ibrahim,Makhlouf,,no
1562-63,Ramallah,Register 516,Christian,Ibrahim,Rahal,bachelor,no
1562-63,Ramallah,Register 516,Christian,ʿAudi,Kaʿoosh,,no
1562-63,Ramallah,Register 516,Christian,Dheeb,ʿAudi,bachelor,no
1562-63,Ramallah,Register 516,Christian,Salamy,Ibrahim,bachelor,no
1562-63,Ramallah,Register 516,Christian,Ibrahim,Suweidan,bachelor,no
1562-63,Ramallah,Register 516,Christian,Dheeb,Najm,bachelor,no
1562-63,Ramallah,Register 516,Christian,ʿEsa,Khaleel,bachelor,no
